REGIONE;ELETTORI;TOTALE_ELETTORI_M;TOTALE_ELETTORI_F;PERC_VOTANTI;PERC_SI;PERC_NO;PERC_ALTRI
ABRUZZO;1052049;509116;542933;68.71638108110933;35.27326297151868;63.79428160402806;0.9324554244532666
BASILICATA;467000;227236;239764;62.85781584582442;33.6996586565649;65.0940568088136;1.2062845346214903
CALABRIA;1553741;749404;804337;54.434748133697965;32.65809464692146;66.41553604682096;0.9263693062575745
CAMPANIA;4566905;2190203;2376702;58.88167150400545;31.226111629671227;67.97026481274196;0.8036235575868238
EMILIA-ROMAGNA;3326910;1605036;1721874;75.93322332134022;49.97502206845774;49.20343753339957;0.821540398142687
FRIULI-VENEZIA GIULIA;952494;457538;494956;72.516677270408;38.70716950646936;60.48121010486205;0.8116203886685864
LAZIO;4402145;2097786;2304359;69.16339648057935;36.41665295419245;62.876932925145;0.7064141206625473
LIGURIA;1241469;585208;656261;69.73641709942012;39.58055156418205;59.575330693636545;0.8441177421813998
LOMBARDIA;7480375;3616467;3863908;74.22769580402053;44.17706586750857;55.07797374520712;0.7449603872843092
MARCHE;1189181;574341;614840;72.84282207670657;44.53397642435696;54.57711724212769;0.8889063335153475
MOLISE;256600;124778;131822;63.92751363990647;38.82941757397676;60.18605445079799;0.9845279752252526
PIEMONTE;3396378;1633247;1763131;72.03744695083998;43.109679138614865;55.94560593526532;0.9447149261198104
PUGLIA;3280712;1571599;1709113;61.713768230798685;32.5663040198039;66.60767707619732;0.8260189039987632
SARDEGNA;1375735;668772;706963;62.4508353716377;27.617737366118924;71.79017130725664;0.5920913266244393
SICILIA;4031871;1924425;2107446;56.654937620772095;28.13666956476819;70.9244681195699;0.9388623156619185
TOSCANA;2854129;1364774;1489355;74.4553942726485;52.03489042390943;47.05802631746126;0.9070832586293142
TRENTINO-ALTO ADIGE;792504;387839;404665;72.23761646628914;53.33265791652547;45.67325663859029;0.9940854448842417
UMBRIA;675404;324409;350995;73.47454264410635;48.41450881612091;50.74962216624685;0.8358690176322419
VALLE D'AOSTA;99735;48701;51034;71.90755502080513;42.623087970774016;55.936528298729726;1.4403837304962561
VENETO;3714515;1801910;1912605;76.66370979791441;37.76892458259955;61.49560081258988;0.7354746048105743
